element,id,geometry
way,1318195088,"LINESTRING (431004.38792299683 4587762.468628149, 431003.6869713104 4587759.932739297)"
way,1318196052,"LINESTRING (428562.4609128022 4580580.304446949, 428564.6037719623 4580581.338104604)"
way,1318196053,"LINESTRING (428564.6037719623 4580581.338104604, 428570.50931751385 4580583.134092337, 428578.27781188965 4580585.566799906)"
way,1318196061,"LINESTRING (428578.27781188965 4580585.566799906, 428583.3882470998 4580587.304015062)"
way,1318199258,"LINESTRING (430811.8153982472 4584171.33452857, 430806.1513866142 4584176.951206924, 430800.871552743 4584182.530909445)"
way,1318199259,"LINESTRING (430800.871552743 4584182.530909445, 430792.45530039375 4584191.427052917, 430791.41242955497 4584196.011414856, 430788.058371532 4584199.296625513, 430731.30338945996 4584254.7321239775, 430720.3575649607 4584265.695491507, 430717.94083776127 4584268.2167699775)"
way,1318199260,"LINESTRING (430717.94083776127 4584268.2167699775, 430714.96169616864 4584271.365193838, 430712.77496824804 4584273.462362898)"
way,1318199261,"LINESTRING (430712.77496824804 4584273.462362898, 430711.9811759783 4584274.369294485, 430700.2160150048 4584286.184355798, 430697.7361962824 4584292.592260723, 430638.3004232992 4584350.752194975, 430627.4912164932 4584362.858001114)"
way,1318199262,"LINESTRING (430627.4912164932 4584362.858001114, 430621.0365548048 4584368.804392723, 430613.2265283482 4584377.239728106)"
way,1318199263,"LINESTRING (430613.2265283482 4584377.239728106, 430605.38351311954 4584385.719800251, 430576.73336281034 4584416.682909749, 430574.6651173081 4584418.923324473, 430562.7121719068 4584428.5420468785)"
way,1318200502,"LINESTRING (431083.173050254 4587819.152988973, 431062.8677612882 4587789.068769145)"
way,1318200503,"LINESTRING (431065.43071128224 4587787.978455581, 431087.49428242433 4587815.825337428)"
way,1318200504,"LINESTRING (431091.164442692 4587820.453604932, 431092.88108119264 4587822.613426582, 431096.14970390627 4587827.190007714)"
way,1318200505,"LINESTRING (431091.2900032159 4587831.877344986, 431087.08221078507 4587825.189051665, 431085.723955814 4587822.93699263)"
way,1318203940,"LINESTRING (428520.6853839075 4582090.247443992, 428516.87399866804 4582093.793575786, 428511.23746587534 4582096.258527982, 428510.1854958631 4582097.268172424)"
way,1318203941,"LINESTRING (428498.2867521792 4582109.121396617, 428497.32642643934 4582110.096829774, 428495.5714586042 4582111.890620148, 428491.6405251071 4582115.182578189, 428490.9229610901 4582117.032748244)"
way,1318204432,"LINESTRING (428374.3829438955 4580517.541527184, 428376.70327240834 4580517.063380434)"
way,1318204433,"LINESTRING (428376.70327240834 4580517.063380434, 428382.00911014224 4580519.098303537, 428386.022704936 4580520.701880717)"
way,1318204667,"LINESTRING (431237.66951666307 4587795.0434518475, 431235.66841958766 4587794.59615507, 431233.9265295409 4587793.291467327, 431233.058350838 4587791.612074839, 431201.77124140784 4587786.591332143, 431185.3624540049 4587784.882153301)"
way,1318204668,"LINESTRING (431242.57978891314 4587795.662942807, 431239.75236143905 4587795.301221857, 431237.66951666307 4587795.0434518475)"
way,1318204669,"LINESTRING (431356.7724729515 4587814.674489211, 431353.8757549649 4587812.292646186, 431257.61771947343 4587796.430427748, 431255.0561686071 4587795.033599718, 431247.8355882992 4587793.958636716, 431242.57978891314 4587795.662942807)"
way,1318204670,"LINESTRING (431362.68807073485 4587815.584298449, 431359.99379863346 4587815.165752319, 431356.7724729515 4587814.674489211)"
way,1318204671,"LINESTRING (431624.1565927669 4587823.533111012, 431618.0727828849 4587824.267913476, 431603.572112327 4587829.0571699245, 431603.2017248159 4587831.4144949205, 431602.9889714716 4587832.771065025)"
way,1318204672,"LINESTRING (431602.9889714716 4587832.771065025, 431602.52368909895 4587835.695537207, 431601.9958786883 4587839.07582112)"
way,1318204673,"LINESTRING (431601.5463605495 4587841.900217907, 431601.18873875367 4587844.723745586, 431600.60045547603 4587847.89364588)"
way,1318204674,"LINESTRING (431601.9958786883 4587839.07582112, 431601.5463605495 4587841.900217907)"
way,1318204677,"LINESTRING (431600.60045547603 4587847.89364588, 431600.1459444916 4587851.07338394, 431518.76386576035 4587838.175851445, 431515.8280768248 4587837.8372552125, 431512.45004133665 4587837.558363024, 431511.5300862895 4587838.3442808855, 431510.15837456135 4587839.067859623, 431508.6652884654 4587839.326264775)"
way,1318204678,"LINESTRING (431508.6652884654 4587839.326264775, 431505.2526799368 4587838.9255710775, 431501.86523871013 4587838.535743541)"
way,1318206098,"LINESTRING (428360.9214130943 4580518.762641628, 428362.69219299254 4580519.378007151, 428367.4589818811 4580521.029645052)"
way,1318206099,"LINESTRING (428367.4589818811 4580521.029645052, 428369.6665946749 4580521.840547843, 428372.43593251123 4580522.790238458)"
way,1318208346,"LINESTRING (430581.5348390759 4582478.27210293, 430588.9121862483 4582471.584099695, 430590.4709634615 4582470.214613742, 430592.1280450475 4582468.633231687, 430593.86058370874 4582467.073332826, 430595.425808682 4582465.503934514, 430602.47467958205 4582458.563726783, 430608.79571652546 4582452.452110557, 430611.24636771076 4582449.919387579, 430615.01027173456 4582445.697553485, 430617.1965835727 4582443.5004506195)"
way,1318208347,"LINESTRING (430617.1965835727 4582443.5004506195, 430626.8529488938 4582432.93796448)"
way,1318208348,"LINESTRING (430494.3352310974 4582567.0430185925, 430497.109191489 4582564.229580752, 430515.2846416868 4582545.7687795)"
way,1318209985,"LINESTRING (428389.08952447795 4580311.326198177, 428380.53685656196 4580302.361820183)"
way,1318209986,"LINESTRING (428399.00014293956 4580320.5991573725, 428394.0186514939 4580315.851905672, 428389.08952447795 4580311.326198177)"
way,1318209996,"LINESTRING (428415.4916388355 4580295.010626758, 428425.8048383688 4580305.245599619, 428441.5023167677 4580320.368228394, 428448.0977443335 4580326.787223412, 428453.06411004975 4580331.701204274, 428455.15115000535 4580335.544417603)"
way,1318209997,"LINESTRING (428409.3980402237 4580288.597807409, 428412.15330438333 4580291.501765494, 428415.4916388355 4580295.010626758)"
way,1318209999,"LINESTRING (428473.1249413963 4580393.202090039, 428471.21544343606 4580391.244614166)"
way,1318210373,"LINESTRING (433029.4017766692 4582659.2201880915, 433026.3787561321 4582662.323612005)"
way,1318210374,"LINESTRING (433026.3787561321 4582662.323612005, 433020.0959249714 4582669.143307122, 433013.78833333304 4582675.996545373, 433010.3034225588 4582679.781518329)"
way,1318220542,"LINESTRING (428256.1221738538 4578614.519231762, 428243.6942344936 4578637.702864548, 428234.2548210422 4578655.16117, 428231.8245290216 4578659.804017641)"
way,1318220543,"LINESTRING (428361.5645087949 4578415.579309608, 428350.8455933461 4578437.380203331, 428343.7834500203 4578450.795624978, 428342.0508850815 4578454.099192924)"
way,1318220544,"LINESTRING (428342.0508850815 4578454.099192924, 428312.20396061894 4578509.375576445)"
way,1318220545,"LINESTRING (428312.20396061894 4578509.375576445, 428308.68485997047 4578515.594662441, 428307.1075311542 4578518.519207508)"
way,1318220546,"LINESTRING (428307.1075311542 4578518.519207508, 428266.72590480134 4578594.662323229, 428264.62313938886 4578598.591334749)"
way,1318220547,"LINESTRING (428264.62313938886 4578598.591334749, 428260.74672081094 4578605.8909604605, 428256.1221738538 4578614.519231762)"
way,1318220548,"LINESTRING (428231.8245290216 4578659.804017641, 428223.7584761537 4578674.861628804, 428213.74197698047 4578693.169494545, 428213.37567059754 4578694.194585674)"
way,1318221176,"LINESTRING (431535.4285213616 4587620.700331425, 431541.2123144387 4587619.146686055, 431557.61382282677 4587614.761237277)"
way,1318221179,"LINESTRING (431688.100473807 4587579.763574367, 431698.301303069 4587577.013633378, 431713.3193992838 4587572.985797451)"
way,1318222229,"LINESTRING (427336.85914605064 4581764.093616708, 427335.1734223402 4581762.767062299)"
way,1318222230,"LINESTRING (427335.1734223402 4581762.767062299, 427332.876891258 4581760.569499183, 427329.97399461956 4581758.777725104)"
way,1318222231,"LINESTRING (427266.6980318759 4581707.139812294, 427262.8183880124 4581703.847864529, 427260.6171344818 4581701.982456352)"
way,1318222232,"LINESTRING (427260.6171344818 4581701.982456352, 427251.4999528441 4581694.246389902, 427152.53480610735 4581610.369513832, 427127.2323234069 4581588.928715282)"
way,1318222358,"LINESTRING (432015.92205701815 4582539.934882681, 432019.8608775953 4582540.908275542)"
way,1318222359,"LINESTRING (432032.895032484 4582553.309957948, 432036.403428285 4582556.530168996, 432040.24422501284 4582560.424535625)"
way,1318222859,"LINESTRING (432041.1735412138 4582561.448380034, 432036.66118143935 4582561.723873362)"
