census_section,income_2022_house,income_2022_pers
0801906045,44044,20873
0801906046,41346,19198
0801906047,36611,18013
0801906048,40325,18652
0801906049,42590,19619
0801906050,37181,17172
0801906051,42336,19954
0801906052,40013,19662
0801906053,45390,20140
0801906054,39057,18098
0801906055,43136,19922
0801906056,38332,18512
0801906057,34946,17630
0801906058,41333,20062
0801906059,38392,18702
0801906060,40507,18255
0801906061,40254,18070
0801906062,38521,17666
0801906063,39193,18446
0801906064,45954,19931
0801906065,50078,21626
0801906066,44360,21115
0801906067,41550,19511
0801906068,49970,22239
0801906069,46292,20890
0801906070,42181,18980
0801906071,48722,20293
0801906072,52106,22958
0801906073,41731,19662
0801906074,46553,19151
0801906075,52566,22477
0801906076,47495,21088
0801906077,40251,18283
0801906078,38577,18504
0801906079,43595,19906
0801906080,42878,19213
0801906081,42587,19376
0801906082,46799,19839
0801906083,48339,21408
0801906084,42351,19397
0801906085,46671,20755
0801906086,53058,23395
0801906087,51551,22742
0801906088,46535,19798
0801907001,46199,20350
0801907002,34872,18197
0801907003,45343,18735
0801907004,38880,17020
0801907005,37996,17651
0801907006,46048,19474
0801907007,39458,17364
0801907008,46102,18496
0801907009,38753,17135
0801907010,45352,19357
0801907011,38628,17618
0801907012,37594,16813
0801907013,47066,19488
0801907014,33951,15951
0801907015,39021,16173
0801907016,49277,19850
0801907017,40283,17201
0801907018,39775,16342
0801907019,42863,17923
0801907020,37541,15735
0801907021,50404,19891
0801907022,41828,17202
0801907023,32574,15136
0801907024,36047,16336
0801907025,37012,15545
0801907026,38495,16417
0801907027,39603,15460
0801907028,39623,16938
0801907029,43038,18647
0801907030,35919,15405
0801907031,36083,14840
0801907032,38969,16790
0801907033,42294,17710
0801907034,46464,19188
0801907035,45286,19280
0801907036,45873,19535
0801907037,41182,17122
0801907038,38316,17046
0801907039,42817,18311
0801907040,38157,17703
0801907041,36371,16165
0801907042,39056,17455
0801907043,40691,17679
0801907044,42517,18686
0801907045,39286,16412
0801907046,37353,16741
0801907047,38735,16498
0801907048,39128,17377
0801907049,38608,17130
0801907050,37569,16523
0801907051,40582,16971
0801907052,55776,21956
0801907053,45260,18764
0801907054,57475,23089
0801907055,64703,25507
0801907056,44850,18900
0801907057,46241,19080
0801907058,43440,18352
0801907059,31590,13934
0801907060,32604,13725
0801907061,33959,14378
0801907062,33878,14203
0801907063,30412,12177
0801907064,30995,12723
0801907065,27624,11529
0801907066,29157,12106
0801907067,29340,12029
0801907068,28712,11498
0801907069,28121,12102
0801907070,31636,12595
0801907071,34025,14342
0801907072,34142,13753
0801907073,29083,12556
0801907074,29315,12853
0801907075,30354,12395
0801907076,30766,12933
0801907077,30571,12561
0801907078,31398,12600
0801907079,29734,12520
0801907080,33359,13441
0801907081,34938,14777
0801907082,32065,13780
0801907083,31102,13185
0801907084,32794,13755
0801907085,35249,14457
0801907086,32611,13416
0801907087,33326,14573
0801907088,35324,14084
0801907089,41401,16518
0801907090,37577,14934
0801907091,36193,15502
0801907092,29068,11833
0801907093,35958,14616
0801907094,36666,16101
0801907095,37904,16266
0801907096,35191,15086
0801907097,43460,18896
0801907098,54299,21745
0801907099,45377,19066
0801907100,38585,16817
0801907101,39871,17038
0801907102,40693,16063
0801907103,37936,15336
0801907104,34665,14558
0801907105,42471,18480
0801907106,42100,17216
0801907107,47593,19997
0801907108,42963,17398
0801907109,33451,14478
0801907110,42289,17676
0801907111,48589,20010
0801907112,43884,17437
0801907113,36269,15241
0801907114,43249,18106
0801907115,49280,20657
0801907116,38816,16610
0801907117,41495,17932
0801907118,40660,17360
0801907119,35556,14926
0801907120,37644,15698
0801907121,34045,13902
0801907122,37457,16328
0801907123,41386,17797
0801908001,37239,15997
0801908002,39653,17446
0801908003,36275,15735
0801908004,35811,14756
0801908005,38554,16243
0801908006,39670,15922
0801908007,40932,16997
0801908008,39453,16651
0801908009,37696,14885
0801908010,40981,18209
0801908011,42473,17128
0801908012,37982,16780
0801908013,37533,15859
0801908014,36213,14738
0801908015,33173,13981
0801908016,36378,15995
0801908017,39536,17155
0801908018,38600,15934
0801908019,35001,14370
0801908020,35100,15213
0801908021,37354,16088
0801908022,38410,15878
0801908023,33215,14091
0801908024,34261,14665
0801908025,30928,13405
0801908026,37415,15793
0801908027,41071,17195
0801908028,33864,14581
0801908029,30320,13017
0801908030,35277,14067
0801908031,33664,14826
0801908032,37298,15311
0801908033,31357,12695
0801908034,29777,12333
0801908035,30782,14624
0801908036,28928,11982
0801908037,33401,13664
0801908038,33283,12569
0801908039,31529,13346
0801908040,29318,11545
0801908041,27833,9836
0801908042,36700,15238
0801908043,31391,14159
0801908044,29120,11674
0801908045,30500,11488
0801908046,30254,12837
0801908047,28259,10831
0801908048,24643,10415
0801908049,27557,12690
0801908050,44498,18342
0801908051,41662,16380
0801908052,35892,15703
0801908053,42485,17618
0801908054,35738,15689
0801908055,47930,19660
0801908056,35178,14348
0801908057,36223,15107
0801908058,33558,13754
0801908059,34877,14615
0801908060,38060,16354
0801908061,33342,14343
0801908062,38677,16049
0801908063,42072,17900
0801908064,34929,13716
0801908065,29904,10522
0801908066,26214,9926
0801908067,31663,12368
0801908068,28085,10613
0801908069,29427,10956
0801908070,27871,10657
0801908071,29329,11493
0801908072,32525,12861
0801908073,24642,9790
0801908074,28248,10690
0801908075,29170,12501
0801908076,29733,13067
0801908077,27486,10927
0801908078,26754,11586
0801908079,27094,11334
0801908080,29751,12241
0801908081,28543,10839
0801908082,28993,12530
0801908083,30608,12650
0801908084,31934,13797
0801908085,31046,12550
0801908086,30892,13184
0801908087,30484,13292
0801908088,31222,12895
0801908089,31365,13534
0801908090,32819,13856
0801908091,33684,13649
0801908092,35831,14608
0801908093,30663,12937
0801908094,32078,14067
0801908095,40339,16282
0801908096,34609,13676
0801908097,30737,13073
0801908098,30117,12472
0801908099,29967,12407
0801908100,29820,12770
0801908101,32589,13818
0801908102,27994,11607
0801908103,24422,9718
0801908104,26883,11137
0801908105,29652,11397
0801908106,29459,10359
0801908107,28579,11416
0801908108,29890,10107
0801908109,28577,10032
0801908110,23984,8374
0801908111,26674,9016
0801908112,27731,9422
0801908113,27454,9192
0801908114,29469,9974
0801908115,27144,9650
0801908116,28878,10461
0801908215,37830,16049
0801909001,27607,8802
0801909002,27575,9668
0801909003,28431,10264
0801909004,28934,10726
0801909005,35830,13581
0801909006,29407,11105
0801909007,26095,10426
0801909008,53554,19072
0801909009,40499,15010
0801909010,32710,13544
0801909011,30185,11747
0801909013,27884,9740
0801909014,29576,11570
0801909015,29712,11502
0801909016,40437,16940
0801909017,42759,17201
0801909018,39883,16518
0801909019,47629,18142
0801909020,40490,17829
0801909021,44694,18484
0801909022,46590,19449
0801909023,46771,18662
0801909024,42249,18475
0801909025,42658,18871
0801909026,44454,19409
0801909027,44830,18796
0801909028,55145,20747
0801909029,38663,16938
0801909030,44136,18255
0801909031,46173,18590
0801909032,35241,14096
0801909033,37089,16599
0801909034,33652,14761
0801909035,38478,16858
0801909036,40625,17549
0801909037,37430,14547
0801909038,43429,17709
0801909039,40075,17362
0801909040,44928,18312
0801909041,38566,16634
0801909042,41195,18516
0801909043,38000,16571
0801909044,40457,17573
0801909045,40693,17533
0801909046,42393,18827
0801909047,41614,18953
0801909048,39061,17191
0801909049,41945,16481
0801909050,40493,17934
0801909051,42304,18430
0801909052,41169,17469
0801909053,43626,18933
0801909054,42884,18557
0801909055,40236,14010
0801909056,41418,17677
0801909057,39129,15694
0801909058,42949,17350
0801909059,40829,17271
0801909060,38083,16050
0801909061,43722,18491
0801909062,41135,17392
0801909063,43434,19007
0801909064,43564,17479
0801909065,40376,16123
0801909066,44037,19006
0801909067,37807,15279
0801909068,41418,17428
0801909069,37945,16547
0801909070,29201,12562
0801909071,38069,15441
0801909072,32326,13936
0801909073,40203,17187
0801909074,37585,15542
0801909075,40305,15121
0801909076,36001,15637
0801909077,38539,16917
0801909078,40639,17243
0801909079,40574,17221
0801909080,41281,17484
0801909081,38982,16729
0801909082,39239,16025
0801909083,39602,16869
0801909084,42536,18334
0801909085,41119,17180
0801909086,40794,16575
0801909087,43777,18286
0801909088,34419,15700
0801909089,36857,16041
0801909090,35890,15825
0801909091,41164,16842
0801909092,42537,17255
0801909093,39051,17207
0801909094,40084,17271
0801909095,42508,17260
0801909156,40252,15813
0801910001,36452,15697
0801910002,37999,16590
0801910003,39671,17199
0801910004,39272,16730
0801910005,41476,17870
0801910006,44700,19363
0801910007,51103,23192
0801910008,39180,18248
0801910009,39666,18276
0801910010,37617,17010
0801910011,42722,19346
0801910012,43266,18597
0801910013,39547,18080
0801910014,39810,17514
0801910015,39216,17498
0801910016,43747,19121
0801910017,42051,17673
0801910018,37234,16207
0801910019,40357,17628
0801910020,36473,16096
0801910021,36632,15750
0801910022,39197,17257
0801910023,39113,17009
0801910024,44228,17822
0801910025,38351,16981
0801910026,44907,18716
0801910027,41751,17684
0801910028,42066,16685
0801910029,39713,16552
0801910030,40903,16826
0801910031,37159,17139
0801910032,45832,18605
0801910033,43846,19716
0801910034,38489,16729
0801910035,49047,18603
0801910036,50758,18989
0801910037,34764,13747
0801910038,42983,18090
0801910039,39563,16195
0801910040,40427,17111
0801910041,40151,17613
0801910042,38142,15637
0801910043,41674,17509
0801910044,42072,18058
0801910045,47744,20026
0801910046,42803,19934
0801910047,44590,19521
0801910048,45412,20141
0801910049,42270,18159
0801910050,45972,19528
0801910051,49710,19457
0801910052,64642,25800
0801910053,84079,31542
0801910054,63952,24193
0801910055,73872,27080
0801910056,38490,16464
0801910057,36549,16483
0801910058,37272,16611
0801910059,46556,19531
0801910060,40882,16892
0801910061,48067,19768
0801910062,46419,18917
0801910063,46515,19158
0801910064,45506,19677
0801910065,46351,19096
0801910066,48165,19051
0801910067,65296,24254
0801910068,54807,20639
0801910069,52603,21319
0801910070,39894,17694
0801910071,50486,20015
0801910072,45558,18256
0801910073,38818,16574
0801910074,40466,16681
0801910075,41036,16654
0801910076,43788,19707
0801910077,60793,22509
0801910078,60819,22874
0801910079,49550,19420
0801910080,72348,25420
0801910081,33850,13150
0801910082,24820,8188
0801910083,24297,7483
0801910084,27468,9804
0801910085,25694,9155
0801910086,28731,10750
0801910087,27508,10623
0801910088,36128,14842
0801910089,27321,10732
0801910090,32933,12124
0801910091,34764,13799
0801910092,41125,16663
0801910093,43027,17309
0801910094,43728,18002
0801910095,36471,14964
0801910096,48949,18854
0801910097,47256,19539
0801910098,48902,18363
0801910099,33685,12941
0801910100,36058,14556
0801910101,40206,14575
0801910102,36855,14502
0801910103,38875,16006
0801910104,46201,18096
0801910105,40134,16381
0801910106,38422,16125
0801910107,48046,19238
0801910108,36637,15857
0801910109,35471,14752
0801910110,33929,14451
0801910111,37058,15551
0801910112,46119,18698
0801910113,36873,14948
0801910114,33930,12814
0801910115,33745,14194
0801910116,31641,13761
0801910117,35673,15231
0801910118,47672,18751
0801910119,31682,13758
0801910120,34105,14505
0801910121,34409,13977
0801910122,44379,17655
0801910123,37439,15867
0801910124,40251,16294
0801910125,35322,14438
0801910126,39474,15670
0801910127,41595,16357
0801910128,39078,17048
0801910129,43161,16763
0801910130,36581,15695
0801910131,47232,18546
0801910132,35875,13947
0801910133,33483,13691
0801910134,30670,13695
0801910135,34789,14016
0801910136,35115,14108
0801910137,32521,12788
0801910138,27276,10930
0801910139,30961,12432
