census_section,cars,others,motos,population,cars_abs,motos_abs,others_abs
0801904014,289,19,144,714,206.35,102.82,13.57
0801904015,301,23,167,1772,533.37,295.92,40.76
0801904016,342,30,165,1007,344.39,166.16,30.21
0801904017,365,24,196,1116,407.34,218.74,26.78
0801904018,328,25,213,1384,453.95,294.79,34.6
0801904019,371,29,267,1285,476.74,343.1,37.26
0801904020,318,27,200,1399,444.88,279.8,37.77
0801904021,569,62,587,1229,699.3,721.42,76.2
0801904022,329,32,193,1589,522.78,306.68,50.85
0801904023,646,85,282,1015,655.69,286.23,86.28
0801904024,1051,121,295,984,1034.18,290.28,119.06
0801904025,298,25,216,1086,323.63,234.58,27.15
0801904026,301,22,188,1148,345.55,215.82,25.26
0801904027,341,39,154,1268,432.39,195.27,49.45
0801904028,299,42,167,1171,350.13,195.56,49.18
0801904029,633,132,272,1082,684.91,294.3,142.82
0801904030,356,28,149,1676,596.66,249.72,46.93
0801904031,211,28,122,1790,377.69,218.38,50.12
0801904032,309,33,151,1462,451.76,220.76,48.25
0801904033,325,21,167,1070,347.75,178.69,22.47
0801904034,381,13,193,1415,539.12,273.1,18.4
0801904035,365,34,181,1291,471.22,233.67,43.89
0801904036,241,28,138,1575,379.58,217.35,44.1
0801904037,330,25,176,2057,678.81,362.03,51.42
0801904038,377,20,183,1168,440.34,213.74,23.36
0801904039,339,31,184,1076,364.76,197.98,33.36
0801904040,231,24,142,1507,348.12,213.99,36.17
0801904041,252,34,160,1226,308.95,196.16,41.68
0801904042,257,29,134,1686,433.3,225.92,48.89
0801904043,409,27,165,1530,625.77,252.45,41.31
0801904044,316,45,160,1524,481.58,243.84,68.58
