census_section,household_avg_m2
0801908005,65.3
0801908006,70.3
0801908007,71.5
0801908008,73.3
0801908009,75.4
0801908010,69.6
0801908011,79.5
0801908012,70.2
0801908013,75.2
0801908014,68.5
0801908015,57.3
0801908016,73.2
0801908017,66.9
0801908018,69.6
0801908019,63.2
0801908020,68.0
0801908021,69.3
0801908022,73.1
0801908023,66.3
0801908024,69.6
0801908025,61.3
0801908026,66.6
0801908027,72.2
0801908028,68.9
0801908029,76.5
0801908030,66.5
0801908031,56.7
0801908032,69.4
0801908033,62.0
0801908034,61.6
0801908035,61.2
0801908036,54.3
0801908037,61.8
0801908038,68.6
0801908039,64.0
0801908040,68.8
0801908041,56.0
0801908042,81.4
0801908043,74.0
0801908044,59.9
0801908045,62.2
0801908046,58.8
0801908047,59.9
0801908048,47.5
0801908049,58.3
0801908050,81.1
0801908051,75.6
0801908052,67.4
0801908053,88.5
0801908054,68.3
0801908055,87.4
0801908056,69.6
0801908057,79.4
0801908058,65.1
0801908059,68.0
0801908215,76.5
0801908060,86.4
0801908061,74.8
0801908062,80.7
0801908063,97.1
0801908064,77.1
0801908065,55.9
0801908066,56.9
0801908067,68.7
0801908068,62.5
0801908069,62.8
0801908070,59.2
0801908071,61.9
0801908072,65.7
0801908073,45.4
0801908074,56.2
0801908075,56.9
0801908076,59.6
0801908077,75.5
0801908078,51.3
0801908079,56.3
0801908080,58.8
0801908081,62.0
0801908082,59.8
0801908083,57.5
0801908084,64.3
0801908085,60.0
0801908086,58.4
0801908087,58.5
0801908088,60.7
0801908089,62.0
0801908090,64.6
0801908091,63.5
0801908092,63.5
0801908093,58.1
0801908094,65.6
0801908095,73.0
0801908096,66.0
0801908097,65.3
0801908098,61.2
0801908099,58.5
0801908100,60.4
0801908101,63.0
0801908102,53.8
0801908103,44.8
0801908104,56.3
0801908105,62.3
0801908106,68.7
0801908107,73.9
0801908108,64.2
0801908109,61.8
0801908110,57.3
0801908111,57.3
0801908112,62.1
0801908113,59.2
0801908114,58.3
0801908115,60.7
0801908116,62.1
0801909001,56.8
0801909002,61.5
0801909003,60.6
0801909004,59.5
0801909005,67.5
0801909006,78.4
0801909007,66.9
0801909008,81.5
0801909009,68.1
0801909010,76.5
0801909011,70.3
0801909013,66.1
0801909014,58.0
0801909015,61.5
0801909016,71.8
0801909017,69.8
0801909018,74.0
0801909019,80.4
0801909020,74.7
0801909021,69.7
0801909022,65.1
0801909023,62.1
0801909024,83.0
0801909025,70.5
0801909026,75.7
0801909027,77.3
0801909028,94.4
0801909029,65.7
0801909030,76.7
0801909031,88.0
0801909032,78.3
0801909033,68.8
0801909034,65.4
0801909035,65.1
0801909036,73.6
0801909037,60.6
0801909038,77.3
0801909039,64.4
0801909040,64.5
0801909041,64.3
0801909042,67.3
0801909043,56.1
0801909044,58.9
0801909045,64.6
0801909046,68.9
0801909047,61.6
0801909048,69.1
0801909049,78.9
0801909050,66.3
0801909051,66.9
0801909052,74.3
0801909053,68.2
0801909054,77.4
0801909055,84.4
0801909056,82.4
0801909057,75.9
0801909058,66.6
0801909059,67.3
0801909060,68.9
0801909061,80.1
0801909062,69.9
0801909063,72.4
0801909064,85.8
0801909065,74.8
0801909066,77.3
0801909067,68.6
0801909068,75.1
0801909069,79.5
0801909070,54.1
0801909071,70.4
0801909072,56.8
0801909073,79.7
0801909156,79.1
0801909074,74.9
0801909075,79.7
0801909076,71.7
0801909077,68.3
0801909078,70.1
0801909079,70.8
0801909080,73.6
0801909081,66.3
0801909082,69.1
0801909083,69.7
0801909084,75.4
0801909085,74.1
0801909086,71.9
0801909087,84.7
0801909088,65.4
0801909089,72.8
0801909090,73.3
0801909091,80.0
0801909092,78.3
0801909093,74.4
0801909094,77.2
0801909095,77.1
0801910001,67.0
0801910002,68.5
0801910003,65.5
0801910004,70.3
0801910005,74.5
0801910006,72.7
0801910007,87.6
0801910008,66.2
0801910009,67.7
0801910010,65.7
0801910011,69.4
0801910012,74.8
0801910013,69.1
0801910014,74.8
0801910015,73.5
0801910016,73.6
0801910017,77.1
0801910018,66.7
0801910019,76.5
0801910020,65.8
0801910021,68.0
0801910022,66.1
0801910023,66.7
0801910024,64.3
0801910025,72.1
0801910026,72.9
0801910027,69.0
0801910028,70.5
0801910029,70.7
0801910030,78.4
0801910031,62.5
0801910032,69.1
0801910033,84.7
0801910034,80.5
0801910035,84.4
0801910036,73.8
0801910037,73.9
0801910038,71.6
0801910039,75.6
0801910040,72.0
0801910041,74.3
0801910234,75.4
0801910042,74.6
0801910043,77.2
0801910044,75.7
0801910045,80.6
0801910046,74.8
0801910047,79.9
0801910048,75.8
0801910049,77.2
0801910050,80.8
0801910051,82.1
0801910052,68.5
0801910053,87.2
0801910054,109.4
0801910055,115.4
0801910056,64.8
0801910057,68.1
0801910058,66.5
0801910059,70.8
0801910060,65.3
0801910061,82.0
0801910062,83.7
0801910063,79.7
0801910064,75.3
0801910065,72.9
0801910066,78.5
0801910067,88.7
0801910068,87.0
0801910069,74.2
0801910070,63.5
0801910071,80.5
0801910072,67.2
0801910073,69.2
0801910074,69.3
0801910075,69.2
0801910076,97.4
0801910077,75.0
0801910078,85.8
0801910079,85.3
0801910080,109.6
0801910235,66.0
0801910236,70.8
0801910081,75.0
0801910082,53.9
0801910083,55.9
0801910084,60.7
0801910085,54.6
0801910086,53.0
0801910087,64.2
0801910088,81.9
0801910089,57.5
0801910090,69.5
0801910091,70.3
0801910092,87.5
0801910093,80.2
0801910094,71.4
0801910095,66.4
0801910096,80.7
0801910097,77.1
0801910098,88.9
0801910099,80.1
0801910100,72.4
0801910101,75.6
0801910102,68.2
0801910103,77.8
0801910104,87.2
0801910237,61.7
0801910105,73.4
0801910106,74.5
0801910107,83.4
0801910108,76.2
0801910109,67.6
0801910110,72.1
0801910111,76.7
0801910112,90.5
0801910113,71.9
0801910114,69.2
0801910115,74.4
0801910116,64.0
0801910117,72.7
0801910118,94.9
0801910119,62.8
0801910120,77.4
0801910121,69.3
0801910122,94.1
0801910123,72.9
0801910124,83.1
0801910125,70.3
0801910126,88.2
0801910127,73.8
0801910128,76.6
0801910129,87.5
0801910130,77.3
0801910131,87.7
0801910132,76.9
0801910133,70.3
0801910134,61.7
0801910135,72.3
0801910136,80.7
0801910137,72.0
0801910138,63.4
0801910139,59.9
0801910140,75.5
0801910141,75.5
0801910142,70.9
0801910143,66.3
