element,id,osmid,health_care,culture,tourism,recreation,sport,economic_retail,industrial,green,civic,worship,education,superpois,geometry
node,671914497,"('node', 671914497)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430800.7601996062 4581478.0389355)
node,671914500,"('node', 671914500)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430803.2462383173 4581465.158098141)
node,671914504,"('node', 671914504)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430811.22167224134 4581457.043483465)
node,671914505,"('node', 671914505)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430816.74925535056 4581453.548826164)
node,671914511,"('node', 671914511)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430766.0884469212 4581527.755587802)
node,671914513,"('node', 671914513)",0,0,1,0,0,1,0,0,0,0,0,0,POINT (430822.8487127218 4581441.632756251)
node,671914514,"('node', 671914514)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430786.71038230316 4581502.432840715)
node,671914515,"('node', 671914515)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430784.38185229624 4581502.033173627)
node,672090792,"('node', 672090792)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430864.96411853156 4581379.676664176)
node,672090797,"('node', 672090797)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430958.77926307655 4581233.679240881)
node,672090807,"('node', 672090807)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430974.3623231002 4581209.470950907)
node,672090814,"('node', 672090814)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430838.29153389914 4581414.216762508)
node,672090816,"('node', 672090816)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430841.1467213114 4581410.214694407)
node,672090818,"('node', 672090818)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (430830.3121207223 4581423.674827491)
node,672090823,"('node', 672090823)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430860.6259526056 4581386.890490037)
node,672090825,"('node', 672090825)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430857.3897110716 4581391.273682348)
node,672090838,"('node', 672090838)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430829.0256704074 4581429.949112132)
node,672090842,"('node', 672090842)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430834.77264129714 4581421.400580422)
node,672140162,"('node', 672140162)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430544.42797967803 4581759.572755287)
node,672140163,"('node', 672140163)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430689.22131756746 4581608.919479565)
node,672140165,"('node', 672140165)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (431045.15922027716 4581499.391546428)
node,672140166,"('node', 672140166)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (431066.53938255546 4581474.550929478)
node,672140173,"('node', 672140173)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430563.94135758525 4581679.800432527)
node,672140177,"('node', 672140177)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430471.7740749682 4581779.100011339)
node,672140180,"('node', 672140180)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430519.7472453083 4581773.055092816)
node,672398176,"('node', 672398176)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430742.59850613313 4581567.961423568)
node,672398185,"('node', 672398185)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430682.5618597196 4581687.258308057)
node,672398192,"('node', 672398192)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430668.3297363001 4581716.9835835425)
node,672398195,"('node', 672398195)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430666.23068193893 4581721.333782548)
node,672398198,"('node', 672398198)",0,0,1,1,0,0,0,0,0,0,0,0,POINT (430663.85510254477 4581726.497136873)
node,672398201,"('node', 672398201)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430658.0947410442 4581741.463397563)
node,672398204,"('node', 672398204)",0,0,1,0,0,0,0,0,0,0,0,0,POINT (430649.56044558634 4581749.6723667495)
node,672398207,"('node', 672398207)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430642.8302032757 4581761.150523789)
node,672631671,"('node', 672631671)",0,1,0,0,0,0,0,0,0,0,0,0,POINT (431177.6360060735 4581955.613547661)
node,672758205,"('node', 672758205)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430669.61420864175 4581597.7821405865)
node,672763035,"('node', 672763035)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430625.4481797421 4581791.983023094)
node,672763092,"('node', 672763092)",0,0,0,1,0,0,0,0,0,0,0,0,POINT (430565.6143817972 4581770.616898965)
node,672763395,"('node', 672763395)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430491.31054535136 4581754.997003437)
node,672763481,"('node', 672763481)",0,0,0,0,0,1,0,0,0,0,0,0,POINT (430545.51132451167 4581685.905992837)
