Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,92,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,130,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,164,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,228,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,233,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,474,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,394,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,..,6,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,70,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,78,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,103,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,156,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,157,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,160,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,334,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,277,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,6,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,15,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,6,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,181,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,191,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,242,3,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,267,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,240,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,279,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,412,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,427,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,..,6,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,8,1,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,1,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,91,2,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,112,2,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,104,3,1
