station_id,name,neighborhood,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,structural_gap_score,score_interpretation,pred__xgboost,prediction_percentile_0_100,predictive_gap,predictive_interpretation
567,"C/ RAMON TURRÓ, 182 (xamfrà)",el Poblenou,46.81,42.73,0.6244391323941454,93.55,-50.82,Infravalorada por score,0.6382721,98.34,-0.013833,Sobrepredicha por modelo
117,"C/ ROSA SENSAT, 12",la Vila Olímpica del Poblenou,47.79,44.94,0.6411034364039335,95.4,-50.46,Infravalorada por score,0.57690626,93.19,0.064197,Infrapredicha por modelo
440,"C/ SELVA DE MAR, 230",Sant Martí de Provençals,41.73,30.29,0.5031400058457555,80.66,-50.37,Infravalorada por score,0.49802828,82.14,0.005112,Infrapredicha por modelo
168,SELVA DE MAR / PG. DEL TAULAT,Diagonal Mar i el Front Marítim del Poblenou,48.74,47.51,0.685982893132194,97.42,-49.91,Infravalorada por score,0.5464071,89.69,0.139576,Infrapredicha por modelo
392,"C/ RAMON TURRÓ, 4",la Vila Olímpica del Poblenou,42.29,31.49,0.5071397122695955,81.22,-49.73,Infravalorada por score,0.42882046,70.35,0.078319,Infrapredicha por modelo
259,"C/ DE BARTRINA, 14",Sant Andreu,24.85,5.43,0.3234120228502251,55.06,-49.63,Infravalorada por score,0.32269242,53.96,0.00072,Infrapredicha por modelo
131,"RBLA. GUIPÚSCOA, 158",la Verneda i la Pau,41.35,29.83,0.4901605365709761,79.19,-49.36,Infravalorada por score,0.4320937,71.09,0.058067,Infrapredicha por modelo
141,"C/ BILBAO, 174",Provençals del Poblenou,39.87,26.34,0.4595822075875267,75.51,-49.17,Infravalorada por score,0.49820402,82.5,-0.038622,Sobrepredicha por modelo
458,"C/ TUCUMÁN, 21",el Bon Pastor,30.59,9.94,0.3565691579303348,58.75,-48.81,Infravalorada por score,0.4319682,70.9,-0.075399,Sobrepredicha por modelo
171,"AV. LITORAL, 172",la Vila Olímpica del Poblenou,35.98,19.34,0.3981133307220263,67.4,-48.06,Infravalorada por score,0.45502132,75.51,-0.056908,Sobrepredicha por modelo
410,PG.DE COLOM (LES RAMBLES),el Barri Gòtic,44.52,37.02,0.5308896113141285,85.08,-48.06,Infravalorada por score,0.57160497,92.82,-0.040715,Sobrepredicha por modelo
399,"C/ PAVIA, 3",Sants,44.15,36.28,0.5213031952702307,83.43,-47.15,Infravalorada por score,0.396183,67.4,0.12512,Infrapredicha por modelo
170,"AV. LITORAL, 40 (D)",la Vila Olímpica del Poblenou,41.12,28.91,0.4546443681509224,74.95,-46.04,Infravalorada por score,0.50497895,83.24,-0.050335,Sobrepredicha por modelo
183,"C/ GAVÀ, 1",la Bordeta,40.21,27.44,0.4452238637645201,73.48,-46.04,Infravalorada por score,0.37285906,62.62,0.072365,Infrapredicha por modelo
10,"C/ 60, NÚMERO 25",la Marina del Prat Vermell,30.85,10.87,0.3367412492428553,56.72,-45.85,Infravalorada por score,0.43657473,72.19,-0.099833,Sobrepredicha por modelo
298,"C/ ANDREU NIN, 22",Porta,23.64,4.05,0.2956286615592609,49.72,-45.67,Infravalorada por score,0.33480152,56.35,-0.039173,Sobrepredicha por modelo
352,"C/RADI,10/GRAN VIA DE LES CORTS CATALA",la Marina de Port,34.15,14.92,0.3666669353668563,60.59,-45.67,Infravalorada por score,0.4805105,79.93,-0.113844,Sobrepredicha por modelo
264,"C/ FERRAN JUNOY, 10",el Bon Pastor,32.57,13.26,0.3440549804698621,57.83,-44.57,Infravalorada por score,0.40799585,68.88,-0.063941,Sobrepredicha por modelo
155,"C/ PUJADES, 311/ FLUVIÀ",Diagonal Mar i el Front Marítim del Poblenou,49.31,48.8,0.6180485125084516,93.19,-44.39,Infravalorada por score,0.5309661,87.29,0.087082,Infrapredicha por modelo
436,"PG. ZONA FRANCA, 54",la Marina de Port,32.46,13.08,0.3381746121332982,57.27,-44.19,Infravalorada por score,0.5161023,84.71,-0.177928,Sobrepredicha por modelo
404,"C/ JUAN GRIS, 28",la Bordeta,27.14,7.18,0.3018084686513306,51.2,-44.02,Infravalorada por score,0.47588825,79.01,-0.17408,Sobrepredicha por modelo
166,"C/ BILBAO, 2",el Poblenou,52.09,54.88,0.7070280240625458,98.9,-44.02,Infravalorada por score,0.6400747,98.53,0.066953,Infrapredicha por modelo
376,WORLD  TRADE CENTER,el Raval,19.42,1.66,0.2721398188118135,45.49,-43.83,Infravalorada por score,0.33992898,57.27,-0.067789,Sobrepredicha por modelo
415,"RAMBLA DEL RAVAL, 13",el Raval,45.21,38.67,0.5142992445597023,82.32,-43.65,Infravalorada por score,0.5195778,85.45,-0.005279,Sobrepredicha por modelo
459,"PG. SANTA COLOMA, 105",la Trinitat Vella,26.8,6.81,0.2983101745371857,50.46,-43.65,Infravalorada por score,0.28300318,46.96,0.015307,Infrapredicha por modelo
156,"C/ SELVA DE MAR, 46",Diagonal Mar i el Front Marítim del Poblenou,48.13,46.59,0.572557191696272,89.5,-42.91,Infravalorada por score,0.55283946,90.61,0.019718,Infrapredicha por modelo
566,"C/ CRISTÓBAL DE MOURA, 163 (xamfrà)",Provençals del Poblenou,51.51,53.04,0.6477016674177557,95.76,-42.72,Infravalorada por score,0.5348496,87.85,0.112852,Infrapredicha por modelo
138,"GRAN VIA DE LES CORTS CATALANES,  1118",Provençals del Poblenou,45.8,40.7,0.514315972616211,82.5,-41.8,Infravalorada por score,0.44424298,73.85,0.070073,Infrapredicha por modelo
179,"PG. ZONA FRANCA, 244",la Marina de Port,46.41,41.62,0.5179668997406113,82.87,-41.25,Infravalorada por score,0.44345576,73.11,0.074511,Infrapredicha por modelo
7,"PG. PUJADES,  1 (JUTJATS)","Sant Pere, Santa Caterina i la Ribera",48.1,46.41,0.551401506328131,87.66,-41.25,Infravalorada por score,0.5091135,83.79,0.042288,Infrapredicha por modelo
233,"C/ NOU DE LA RAMBLA, 164",el Poble-sec,37.71,22.28,0.3746147238643827,62.62,-40.34,Infravalorada por score,0.3873979,65.93,-0.012783,Sobrepredicha por modelo
449,"C/ BOLIVIA, 120",Provençals del Poblenou,47.21,44.01,0.523136155639816,83.79,-39.78,Infravalorada por score,0.55511594,91.16,-0.03198,Sobrepredicha por modelo
292,"C/ AMILCAR, 1",Vilapicina i la Torre Llobeta,29.73,8.47,0.2904037558685446,47.88,-39.41,Infravalorada por score,0.27906716,45.67,0.011337,Infrapredicha por modelo
182,"C/ SANT PERE D´ABANTO, 2",Hostafrancs,40.98,28.73,0.4002844327754075,67.77,-39.04,Infravalorada por score,0.41213593,69.24,-0.011851,Sobrepredicha por modelo
59,"C/ AGUSTÍ DURAN I SANPERE, 1",el Raval,46.88,42.91,0.5082799393320333,81.77,-38.86,Infravalorada por score,0.4778474,79.37,0.030433,Infrapredicha por modelo
469,"C/ SANT FRANCESC XAVIER, 1",la Prosperitat,34.44,15.47,0.3201848303843119,54.33,-38.86,Infravalorada por score,0.17683685,18.78,0.143348,Infrapredicha por modelo
237,"C/ RIUS I TAULET, 4",el Poble-sec,35.95,18.78,0.3418140935895804,57.46,-38.68,Infravalorada por score,0.3743863,62.98,-0.032572,Sobrepredicha por modelo
476,"C/ PERIODISTES, 9",el Guinardó,29.92,8.84,0.2827827827827828,47.15,-38.31,Infravalorada por score,0.2487012,38.86,0.034082,Infrapredicha por modelo
180,"GRAN VIA DE LES CORTS CATALANES, 179 (D)",la Bordeta,47.99,46.04,0.5270956241734229,84.35,-38.31,Infravalorada por score,0.43137157,70.72,0.095724,Infrapredicha por modelo
481,"PG. FABRA I PUIG, 411",Horta,11.53,0.18,0.2416444394354909,38.31,-38.13,Infravalorada por score,0.12338431,1.47,0.11826,Infrapredicha por modelo
136,"GRAN VIA DE LES CORTS CATALANES,  1062",Provençals del Poblenou,41.94,30.94,0.4071938725338442,68.69,-37.75,Infravalorada por score,0.5240931,86.0,-0.116899,Sobrepredicha por modelo
144,"C/ CASTELLA,  28 / DIAGONAL",el Poblenou,51.67,53.5,0.5861432120999883,91.16,-37.66,Infravalorada por score,0.5296056,86.92,0.056538,Infrapredicha por modelo
175,"C/ LLULL, 309",Diagonal Mar i el Front Marítim del Poblenou,52.84,57.64,0.6321133412042503,94.48,-36.84,Infravalorada por score,0.5952278,94.84,0.036886,Infrapredicha por modelo
431,"AV. JOAN XXIII, 17",la Maternitat i Sant Ramon,33.13,13.81,0.2987938225679179,50.64,-36.83,Infravalorada por score,0.21162651,28.91,0.087167,Infrapredicha por modelo
8,"PG. PUJADES, 2","Sant Pere, Santa Caterina i la Ribera",48.93,48.16,0.5305866211038625,84.9,-36.74,Infravalorada por score,0.49715197,81.77,0.033435,Infrapredicha por modelo
541,"C/ MARBRE, 2",la Marina de Port,10.57,0.0,0.2386050953352109,36.65,-36.65,Infravalorada por score,0.34103134,57.46,-0.102426,Sobrepredicha por modelo
347,"C/ ALTS FORNS, 77",la Marina de Port,47.04,43.65,0.4914788752256318,79.74,-36.09,Infravalorada por score,0.41543764,69.43,0.076041,Infrapredicha por modelo
396,"C/ JOAN MIRÓ, 2-12",la Vila Olímpica del Poblenou,47.26,44.2,0.4985255055409573,80.11,-35.91,Infravalorada por score,0.5475731,90.06,-0.049048,Sobrepredicha por modelo
143,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",el Parc i la Llacuna del Poblenou,55.22,62.06,0.6864967658797182,97.61,-35.55,Infravalorada por score,0.5901288,94.48,0.096368,Infrapredicha por modelo
425,"C/ DE CERVELLÓ, 5",el Raval,52.48,56.35,0.6040939622499907,91.9,-35.55,Infravalorada por score,0.591797,94.66,0.012297,Infrapredicha por modelo
147,"RAMBLA PRIM, 79",el Besòs i el Maresme,51.88,54.14,0.5758259721694999,89.69,-35.55,Infravalorada por score,0.60607195,96.13,-0.030246,Sobrepredicha por modelo
161,"C/ RAMON TURRÓ, 91",la Vila Olímpica del Poblenou,50.07,49.72,0.52971692793504,84.71,-34.99,Infravalorada por score,0.559559,91.71,-0.029842,Sobrepredicha por modelo
130,"RAMBLA DE GUIPÚSCOA, 103 / CANTÀBRIA",la Verneda i la Pau,46.68,42.17,0.4657642413987591,76.61,-34.44,Infravalorada por score,0.45973295,76.61,0.006031,Infrapredicha por modelo
478,"C/ ESCULTOR LLIMONA, 7",Vilapicina i la Torre Llobeta,24.85,5.43,0.2463232254913012,39.78,-34.35,Infravalorada por score,0.1715315,16.76,0.074792,Infrapredicha por modelo
163,"AV. ICÀRIA, 202",la Vila Olímpica del Poblenou,50.56,51.38,0.5381616604140964,85.64,-34.26,Infravalorada por score,0.5783953,93.37,-0.040234,Sobrepredicha por modelo
246," C/ GARCILASO, 56",la Sagrera,42.64,32.23,0.3915492770395201,66.3,-34.07,Infravalorada por score,0.38090062,64.27,0.010649,Infrapredicha por modelo
285,"C/ MALATS, 98-100",Sant Andreu,32.43,12.89,0.2787318268905669,46.59,-33.7,Infravalorada por score,0.3123373,52.3,-0.033605,Sobrepredicha por modelo
192,"C/ JOAN GÜELL, 50",Sants,40.44,27.81,0.3707030705002307,61.51,-33.7,Infravalorada por score,0.26621297,43.28,0.10449,Infrapredicha por modelo
128,"RAMBLA DE GUIPÚSCOA, 43/FLUVIA",Sant Martí de Provençals,49.04,48.43,0.50824576708557,81.58,-33.15,Infravalorada por score,0.43071082,70.53,0.077535,Infrapredicha por modelo
348,JARDINS DE CAN FERRERO/PG.DE LA ZONA FR,la Marina de Port,39.88,26.61,0.3590610328638497,59.67,-33.06,Infravalorada por score,0.46606162,77.35,-0.107001,Sobrepredicha por modelo
247,"C/ FELIPE II, 112",la Sagrera,42.57,31.77,0.3848948953174246,64.83,-33.06,Infravalorada por score,0.3310003,55.62,0.053895,Infrapredicha por modelo
527,"PG. OLIMPIC, 8",el Poble-sec,17.53,0.92,0.2263775817880295,33.7,-32.78,Infravalorada por score,0.21420787,29.83,0.01217,Infrapredicha por modelo
55,"LA RAMBLA, 56",el Barri Gòtic,51.89,54.33,0.5479709654368348,87.11,-32.78,Infravalorada por score,0.502203,82.87,0.045768,Infrapredicha por modelo
339,"C/ RAMON TURRÓ, 246",el Poblenou,56.96,66.67,0.7163975798903597,99.26,-32.59,Infravalorada por score,0.6646697,99.63,0.051728,Infrapredicha por modelo
537,"AV. ESTADI, 12",el Poble-sec,39.24,25.23,0.3430506745266977,57.64,-32.41,Infravalorada por score,0.18391804,21.92,0.159133,Infrapredicha por modelo
