station_id,n_observations,bikes_available_mean,bikes_available_std,bikes_available_min,bikes_available_max,docks_available_mean,docks_available_std,docks_available_min,docks_available_max,mechanical_bikes_mean,ebikes_mean,bikes_ratio_capacity_mean,bikes_ratio_capacity_std,docks_ratio_capacity_mean,docks_ratio_capacity_std,pct_empty,pct_near_empty,pct_full,pct_near_full,capacity
144,8884,15.825866726699685,5.98009396163296,0,27,8.682913102206214,5.941019029127884,0,26,11.787483115713643,4.038383610986043,0.5861432120999883,0.22148496154196143,0.3215893741557857,0.22003774181955138,0.0027014858171994596,0.016771724448446646,0.045362449347140926,0.1490319675821702,27
145,8884,14.635637100405223,6.47601031428149,0,26,10.181449797388563,6.290032238723397,0,27,9.85029266096353,4.785344439441693,0.5420606333483416,0.23985223386227728,0.37709073323661346,0.23296415698975578,0.003489419180549302,0.03140477262494372,0.027577667717244486,0.11132372805042774,27
146,8313,12.03488511969205,5.398172382985801,0,23,8.832190544929627,5.0233203252202605,0,22,8.88247323469265,3.1524118849993985,0.5014535466538353,0.22492384929107367,0.3680079393720678,0.20930501355084488,0.0027667508721279923,0.03717069649945868,0.009382894261999277,0.13328521592686154,24
147,8861,19.0022570815935,8.466531872490489,0,33,12.019975172102471,8.571248755951718,0,33,12.823834781627356,6.178422299966144,0.5758259721694999,0.25656157189365036,0.36424167188189305,0.25973481078641614,0.0021442275138246246,0.012752511003272769,0.06816386412368808,0.18824060489786706,33
148,8881,14.72345456592726,7.318469819372269,0,27,10.486882107870736,7.496956753188955,0,27,11.212701272379237,3.510753293548024,0.54531313207138,0.2710544377545277,0.38840304103224943,0.2776650649329245,0.011485193108884136,0.05258416844949893,0.0827609503434298,0.17047629771422138,27
149,8828,12.825215224286362,6.175552936516717,0,25,10.431128228364296,6.354872388745926,0,25,9.174558223833257,3.6506570004531036,0.47500797126986527,0.22872418283395204,0.38633808253201096,0.2353656440276273,0.006116900770276394,0.04859537834164024,0.00022655188038060717,0.12131853194381513,27
15,8866,8.849311978344236,8.353786614201272,0,27,17.32348296864426,8.353446123436742,0,27,5.460974509361606,3.3883374689826304,0.32775229549423096,0.3093995042296763,0.6416104803201577,0.30938689346062026,0.1588089330024814,0.32359575907963006,0.0010151139183397248,0.08278817956237311,27
150,8883,16.36327817178881,6.816875603256739,0,27,8.480693459416864,6.89253435446999,0,27,11.155578070471687,5.207700101317123,0.6060473396958819,0.2524768741946933,0.31409975775618015,0.25527905016555513,0.002589215355172802,0.024203534841832713,0.08431836091410559,0.26533828661488235,27
151,8461,17.954378915021866,8.098086560480825,0,31,10.950478666824253,7.884016288181831,0,31,13.081787022810543,4.8725918922113225,0.5791735133878021,0.2612285987251874,0.35324124731691137,0.2543231060703822,0.0057912776267580665,0.024228814560926605,0.11038884292636804,0.21900484576291218,31
152,8873,22.62526766595289,9.281679448015302,0,38,13.40358390623239,9.693625988747156,0,37,16.59010481235208,6.035162853600811,0.5801350683577665,0.23799178071834068,0.3436816386213434,0.24855451253197833,0.00045080581539501857,0.010143130846387918,0.06829708103234532,0.1585709455651978,39
