,capacity,bikes_available_mean,docks_available_mean,n_observations,bus_count_300m,bus_unique_lines_300m,bus_nearest_m,metro_count_500m,metro_unique_lines_500m,metro_nearest_m,tram_count_500m,tram_unique_lines_500m,tram_nearest_m,poi_count_300m,bike_lane_len_300m,bike_lane_nearest_m,mean_altitude_150m,nearby_distance,income_2022_house,income_2022_pers,f,m,10-19,20-29,30-39,40-49,50-59,60-69,70+,total_population,education_primary,education_secondary,education_college,household_avg_m2,non_spanish_population,cars,others,motos,population,cars_abs,motos_abs,others_abs,unemployment_percentage,unemployment,bikes_available_std,bikes_available_min,bikes_available_max,docks_available_std,docks_available_min,docks_available_max,mechanical_bikes_mean,ebikes_mean,bikes_ratio_capacity_std,docks_ratio_capacity_mean,docks_ratio_capacity_std
motos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cars_abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motos_abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
others_abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment_percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bikes_available_std,0.8510592724083176,0.5502607871028924,0.38738738738738737,-0.06952604045808645,-0.23548981496203897,-0.2686514406201547,-0.3909435751541015,-0.28840775379840994,-0.29300426682673403,0.23091512565196776,-0.004838187996669212,-0.0022005234840631696,0.005215742057847321,-0.23484085157725668,0.03248755130471291,-0.3238501659554291,-0.4357786357786358,0.2809757434745082,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.1810669181210649,0.8868186254930125,0.9888572783309626,-0.3428515948548774,0.8834407224014742,0.378615457562826,0.48127074442863915,0.8522996680891418,0.02536747273589379,0.8229018492176386
bikes_available_min,0.020031315832880137,0.11720514202027436,-0.37716013650113933,-0.1887479486971086,-0.2151568274812244,-0.22547326963770817,0.2321563390016973,-0.24958175962929038,-0.14580770236255847,0.09466569163176007,-0.10314553117940155,-0.10320871374653917,-0.012772355220158104,-0.2547108864999365,-0.23596886400535244,0.26296025453266686,-0.3063044136515075,-0.5441487697292751,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1810669181210649,1.0,0.02937275003557599,-0.17956428809516395,-0.10314553117940155,-0.14941080471939144,0.13673933235698676,-0.33658912580181355,-0.29151022502478496,-0.4139745721357127,-0.3523667410737736
bikes_available_max,0.9704768922848662,0.6486859006520642,0.3682501568273946,-0.08034024826547997,-0.19971456627964815,-0.2957841188708241,-0.3836978884787535,-0.3503325588075083,-0.31671798545098817,0.16481541384949863,0.029099928730438738,0.0273530417393089,-0.06642524610084335,-0.29780238596600095,0.013193114439829613,-0.2988541931012899,-0.4933238759053997,0.28166103080048227,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8868186254930125,0.02937275003557599,1.0,0.8905023153483366,-0.36518206016645277,0.930000164753445,0.48886129241300463,0.3851238329388789,0.5852313721764822,-0.03885698653841821,0.5659811219647888
docks_available_std,0.8634626026115779,0.5298719772403983,0.42484589853010907,-0.06561075149031026,-0.2390506488576343,-0.2766229404082638,-0.4167852062588905,-0.3032352910775528,-0.31823553336647814,0.20957799905168326,-0.004838187996669212,-0.003080732877688437,0.010668563300142247,-0.2558236030811307,0.08038890432334071,-0.3508771929824561,-0.41415701415701417,0.2809757434745082,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9888572783309626,-0.17956428809516395,0.8905023153483366,1.0,-0.3096440317868296,0.8938914259330415,0.3534850640113798,0.47605500237079185,0.8361782835467046,0.05998103366524419,0.8349928876244666
docks_available_min,-0.19481884156872134,-0.48337896439449674,0.36968154647277024,-0.1356999200003494,0.114616679973678,0.08266348070421375,0.13217049936355438,0.031567039922747515,0.002065132984622391,-0.18539056732691572,-0.12076703386372908,-0.12084101061422772,0.4013496860873324,-0.21839115714172455,-0.21315072908232588,0.3283370308648697,0.5441883858130745,0.05791925266738194,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3428515948548774,-0.10314553117940155,-0.36518206016645277,-0.3096440317868296,1.0,-0.13252417739835418,-0.46710505931479124,-0.09126581902807832,-0.4290593082500742,0.5227442212764871,-0.3551669824827626
docks_available_max,0.9611771749413902,0.4524679597189967,0.5740761462681444,-0.06697970459604845,-0.1639217786266835,-0.26092183515236317,-0.37420644122691826,-0.29557510950404736,-0.27644445359157266,0.10343821336358167,0.06433426400718108,0.060846347924745026,0.0409715081635312,-0.29738764529844447,0.02055000563533978,-0.3056830782983458,-0.2739060214177376,0.28149342529275134,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8834407224014742,-0.14941080471939144,0.930000164753445,0.8938914259330415,-0.13252417739835418,1.0,0.27884377150136597,0.45603069955930375,0.554006045167748,0.19108161343513536,0.5532934971996866
